city,year_month,avg_aqi,max_aqi,good_rate,avg_pm25,avg_pm10,avg_so2,avg_no2
??,2025-11,53.94,76,1.0,33.45,56.61,7.82,12.26
??,2025-12,60.31,81,1.0,37.37,63.36,6.31,13.6
??,2025-01,108.95,99,0.1411,67.55,114.38,11.21,23.82
??,2025-02,106.43,99,0.2329,65.98,111.77,12.01,23.29
??,2025-03,99.75,99,0.5397,61.85,104.74,9.49,21.89
??,2025-04,91.02,99,0.8708,56.43,95.58,9.78,20.05
??,2025-05,81.74,99,0.9913,50.7,85.82,10.02,18.08
??,2025-06,75.0,99,1.0,46.49,78.75,7.5,16.68
??,2025-07,72.66,95,1.0,45.08,76.31,8.3,16.18
??,2025-08,74.79,98,1.0,46.39,78.5,9.49,16.63
??,2025-09,81.78,99,0.9924,50.67,85.9,8.03,18.1
??,2025-10,90.89,99,0.8696,56.37,95.43,9.77,20.01
??,2025-11,99.61,99,0.5465,61.77,104.57,11.47,21.85
??,2025-12,106.62,99,0.2224,66.1,111.95,10.03,23.32
??,2025-01,97.38,99,0.6667,60.36,102.29,10.29,21.39
??,2025-02,95.08,99,0.7872,58.95,99.81,11.13,20.91
??,2025-03,89.11,99,0.918,55.23,93.6,8.63,19.64
??,2025-04,81.19,99,0.9972,50.32,85.25,9.0,17.97
??,2025-05,72.81,96,1.0,45.15,76.41,9.32,16.22
??,2025-06,66.69,85,1.0,41.34,70.04,6.86,14.95
??,2025-07,64.62,85,1.0,40.06,67.86,7.68,14.5
??,2025-08,66.57,88,1.0,41.26,69.91,8.82,14.93
??,2025-09,72.87,95,1.0,45.15,76.56,7.33,16.22
??,2025-10,81.06,99,0.996,50.25,85.1,8.96,17.96
??,2025-11,88.88,99,0.9431,55.13,93.28,10.6,19.6
??,2025-12,95.21,99,0.748,59.05,99.95,9.11,20.94
??,2025-01,43.57,60,1.0,27.02,45.73,6.0,10.14
??,2025-02,41.61,59,1.0,25.8,43.71,6.84,9.76
??,2025-03,36.51,54,1.0,22.64,38.35,4.42,8.89
??,2025-04,29.87,48,1.0,18.51,31.33,4.88,7.96
??,2025-05,23.51,40,1.0,14.59,24.72,5.32,7.19
??,2025-06,20.23,34,1.0,12.52,21.23,2.95,6.85
??,2025-07,19.45,32,1.0,12.08,20.47,3.84,6.73
??,2025-08,20.14,35,1.0,12.49,21.11,4.94,6.83
??,2025-09,23.52,42,1.0,14.59,24.72,3.31,7.21
??,2025-10,29.73,49,1.0,18.42,31.21,4.87,7.95
??,2025-11,36.41,56,1.0,22.6,38.2,6.4,8.87
??,2025-12,41.72,59,1.0,25.84,43.82,4.86,9.78
??,2025-01,52.92,69,1.0,32.8,55.55,6.74,12.03
??,2025-02,50.95,68,1.0,31.6,53.51,7.57,11.63
??,2025-03,45.9,64,1.0,28.46,48.15,5.17,10.6
??,2025-04,39.16,58,1.0,24.27,41.12,5.65,9.27
??,2025-05,32.14,51,1.0,19.93,33.71,6.06,8.2
??,2025-06,27.06,46,1.0,16.76,28.45,3.66,7.54
??,2025-07,25.43,42,1.0,15.78,26.69,4.51,7.34
??,2025-08,26.89,44,1.0,16.68,28.24,5.62,7.53
??,2025-09,32.14,51,1.0,19.92,33.74,4.08,8.17
??,2025-10,39.06,57,1.0,24.21,41.04,5.63,9.25
??,2025-11,45.74,63,1.0,28.37,47.99,7.17,10.56
??,2025-12,51.12,69,1.0,31.68,53.7,5.58,11.65
??,2025-01,63.34,82,1.0,39.26,66.52,7.58,14.23
??,2025-02,61.05,79,1.0,37.86,64.1,8.38,13.76
??,2025-03,55.02,77,1.0,34.12,57.74,5.9,12.51
??,2025-04,47.14,70,1.0,29.21,49.51,6.28,10.82
??,2025-05,38.79,61,1.0,24.07,40.7,6.6,9.11
??,2025-06,32.67,54,1.0,20.25,34.33,4.11,8.0
??,2025-07,30.66,50,1.0,19.01,32.2,4.94,7.67
??,2025-08,32.5,54,1.0,20.16,34.08,6.09,7.98
??,2025-09,38.81,62,1.0,24.05,40.79,4.6,9.12
??,2025-10,47.03,68,1.0,29.17,49.37,6.27,10.8
??,2025-11,54.85,73,1.0,34.0,57.58,7.89,12.45
??,2025-12,61.22,82,1.0,37.94,64.31,6.39,13.78
??,2025-01,88.14,99,0.9644,54.64,92.55,9.55,19.45
??,2025-02,85.88,99,0.9844,53.24,90.17,10.37,18.97
??,2025-03,79.87,99,0.9993,49.52,83.87,7.89,17.7
??,2025-04,71.97,94,1.0,44.61,75.55,8.27,16.04
??,2025-05,63.63,85,1.0,39.46,66.81,8.6,14.3
??,2025-06,57.52,80,1.0,35.65,60.38,6.09,13.03
??,2025-07,55.45,76,1.0,34.37,58.26,6.94,12.58
??,2025-08,57.31,79,1.0,35.54,60.13,8.07,12.95
??,2025-09,63.67,85,1.0,39.46,66.89,6.59,14.31
??,2025-10,71.83,95,1.0,44.54,75.4,8.25,16.01
??,2025-11,79.74,99,0.9986,49.46,83.71,9.87,17.68
??,2025-12,86.04,99,0.9798,53.35,90.33,8.37,19.0
??,2025-01,71.6,91,1.0,44.38,75.18,8.23,15.98
??,2025-02,69.31,89,1.0,42.98,72.76,9.06,15.49
??,2025-03,63.32,85,1.0,39.25,66.5,6.57,14.23
??,2025-04,55.39,78,1.0,34.36,58.13,6.93,12.57
??,2025-05,47.09,69,1.0,29.19,49.47,7.27,10.86
??,2025-06,40.93,63,1.0,25.39,42.96,4.78,9.67
??,2025-07,38.9,59,1.0,24.12,40.88,5.63,9.3
??,2025-08,40.77,61,1.0,25.28,42.78,6.77,9.61
??,2025-09,47.09,69,1.0,29.18,49.46,5.27,10.85
??,2025-10,55.3,77,1.0,34.29,58.07,6.91,12.53
??,2025-11,63.15,85,1.0,39.17,66.28,8.54,14.18
??,2025-12,69.49,90,1.0,43.07,73.0,7.07,15.53
??,2025-01,49.01,66,1.0,30.39,51.43,6.42,11.24
??,2025-02,47.05,65,1.0,29.18,49.43,7.26,10.84
??,2025-03,42.01,61,1.0,26.03,44.09,4.87,9.84
??,2025-04,35.27,55,1.0,21.88,37.06,5.31,8.69
??,2025-05,28.35,47,1.0,17.58,29.73,5.76,7.78
??,2025-06,23.65,41,1.0,14.66,24.87,3.34,7.22
??,2025-07,22.36,38,1.0,13.86,23.44,4.21,7.08
??,2025-08,23.54,39,1.0,14.62,24.71,5.33,7.22
??,2025-09,28.3,47,1.0,17.51,29.72,3.74,7.77
??,2025-10,35.16,54,1.0,21.81,36.96,5.29,8.69
??,2025-11,41.88,59,1.0,25.95,43.92,6.86,9.83
??,2025-12,47.2,63,1.0,29.26,49.59,5.27,10.85
???,2025-01,137.67,162,0.0,85.37,144.57,13.51,29.84
???,2025-02,134.84,160,0.0,83.57,141.55,14.3,29.24
???,2025-03,127.5,154,0.0,79.07,133.88,11.7,27.71
???,2025-04,117.87,99,0.0257,73.05,123.63,11.93,25.64
???,2025-05,107.48,99,0.2164,66.63,112.87,12.09,23.52
???,2025-06,100.2,99,0.5208,62.18,105.18,9.52,21.93
???,2025-07,97.44,99,0.6371,60.39,102.31,10.3,21.4
???,2025-08,99.75,99,0.5222,61.83,104.72,11.48,21.89
???,2025-09,107.58,99,0.2236,66.75,113.06,10.1,23.54
???,2025-10,117.66,99,0.0242,72.95,123.52,11.91,25.63
???,2025-11,127.11,155,0.0,78.79,133.56,13.67,27.65
???,2025-12,135.13,160,0.0,83.79,141.88,12.31,29.31
??,2025-01,61.5,77,1.0,38.12,64.57,7.41,13.87
??,2025-02,59.23,77,1.0,36.69,62.26,8.24,13.37
??,2025-03,53.15,74,1.0,32.97,55.77,5.75,12.09
??,2025-04,45.28,68,1.0,28.09,47.49,6.12,10.51
??,2025-05,37.0,58,1.0,22.92,38.85,6.45,9.04
??,2025-06,30.91,50,1.0,19.14,32.52,3.96,8.15
??,2025-07,28.84,46,1.0,17.89,30.29,4.79,7.91
??,2025-08,30.68,52,1.0,19.06,32.16,5.95,8.15
??,2025-09,36.98,59,1.0,22.92,38.83,4.47,9.05
??,2025-10,45.21,67,1.0,28.02,47.5,6.11,10.51
??,2025-11,53.02,72,1.0,32.87,55.69,7.73,12.05
??,2025-12,59.31,76,1.0,36.77,62.26,6.24,13.39
??,2025-01,69.76,90,1.0,43.24,73.26,8.09,15.59
??,2025-02,67.48,85,1.0,41.85,70.84,8.92,15.11
??,2025-03,61.47,84,1.0,38.11,64.55,6.42,13.85
??,2025-04,53.6,77,1.0,33.24,56.28,6.78,12.17
??,2025-05,45.22,66,1.0,28.05,47.46,7.13,10.44
??,2025-06,39.12,59,1.0,24.24,41.13,4.63,9.19
??,2025-07,37.04,56,1.0,22.97,38.88,5.46,8.79
??,2025-08,38.92,60,1.0,24.14,40.85,6.62,9.16
??,2025-09,45.26,64,1.0,28.04,47.57,5.13,10.44
??,2025-10,53.43,77,1.0,33.14,56.08,6.77,12.16
??,2025-11,61.33,84,1.0,38.02,64.39,8.4,13.82
??,2025-12,67.66,88,1.0,41.95,71.05,6.92,15.14
??,2025-01,69.5,88,1.0,43.09,72.98,8.06,15.51
??,2025-02,67.38,87,1.0,41.77,70.73,8.91,15.08
??,2025-03,61.75,83,1.0,38.29,64.85,6.45,13.91
??,2025-04,54.38,76,1.0,33.73,57.11,6.85,12.35
??,2025-05,46.58,68,1.0,28.89,48.89,7.23,10.72
??,2025-06,40.86,62,1.0,25.31,42.9,4.78,9.52
??,2025-07,38.93,57,1.0,24.13,40.86,5.64,9.12
??,2025-08,40.69,61,1.0,25.23,42.7,6.76,9.48
??,2025-09,46.59,67,1.0,28.86,48.93,5.24,10.72
??,2025-10,54.25,76,1.0,33.64,56.98,6.83,12.33
??,2025-11,61.62,83,1.0,38.22,64.7,8.42,13.86
??,2025-12,67.54,87,1.0,41.87,70.91,6.92,15.12
??,2025-01,70.68,91,1.0,43.83,74.2,8.17,15.76
??,2025-02,68.36,89,1.0,42.4,71.79,8.98,15.29
??,2025-03,62.42,84,1.0,38.71,65.51,6.49,14.05
??,2025-04,54.48,77,1.0,33.77,57.2,6.85,12.37
??,2025-05,46.15,68,1.0,28.6,48.48,7.2,10.64
??,2025-06,40.04,61,1.0,24.82,42.03,4.71,9.43
??,2025-07,37.95,58,1.0,23.54,39.84,5.54,9.03
??,2025-08,39.84,60,1.0,24.69,41.82,6.69,9.37
??,2025-09,46.2,70,1.0,28.63,48.49,5.2,10.63
??,2025-10,54.35,78,1.0,33.72,57.07,6.85,12.35
??,2025-11,62.24,85,1.0,38.59,65.33,8.47,14.0
??,2025-12,68.6,89,1.0,42.52,72.02,7.0,15.35
??,2025-01,81.45,99,0.9899,50.52,85.54,9.02,18.05
??,2025-02,78.77,99,0.997,48.81,82.72,9.79,17.46
??,2025-03,71.91,98,1.0,44.58,75.49,7.26,16.05
??,2025-04,62.76,90,1.0,38.9,65.89,7.52,14.1
??,2025-05,53.19,76,1.0,32.97,55.87,7.75,12.11
??,2025-06,46.13,72,1.0,28.6,48.46,5.19,10.66
??,2025-07,43.7,67,1.0,27.09,45.86,6.01,10.17
??,2025-08,45.92,71,1.0,28.51,48.24,7.19,10.59
??,2025-09,53.19,78,1.0,32.96,55.86,5.75,12.12
??,2025-10,62.62,88,1.0,38.8,65.73,7.51,14.07
??,2025-11,71.71,97,1.0,44.47,75.29,9.25,15.99
??,2025-12,79.03,99,0.9987,49.0,83.01,7.81,17.52
??,2025-01,117.5,99,0.0134,72.86,123.4,11.9,25.59
??,2025-02,114.85,99,0.0335,71.21,120.59,12.69,25.05
??,2025-03,107.89,99,0.2171,66.88,113.26,10.14,23.61
??,2025-04,98.83,99,0.5611,61.28,103.77,10.41,21.67
??,2025-05,89.25,99,0.914,55.34,93.71,10.64,19.69
??,2025-06,82.14,99,0.9938,50.9,86.24,8.06,18.17
??,2025-07,79.79,99,1.0,49.48,83.82,8.88,17.68
??,2025-08,81.94,99,0.9946,50.81,86.0,10.05,18.15
??,2025-09,89.22,99,0.9201,55.29,93.7,8.64,19.67
??,2025-10,98.72,99,0.5632,61.23,103.69,10.39,21.66
??,2025-11,107.73,99,0.2167,66.79,113.07,12.12,23.57
??,2025-12,115.03,99,0.0329,71.32,120.8,10.71,25.1
??,2025-01,55.77,74,1.0,34.59,58.59,6.97,12.64
??,2025-02,53.58,71,1.0,33.22,56.27,7.78,12.19
??,2025-03,48.02,69,1.0,29.78,50.42,5.35,11.02
??,2025-04,40.61,59,1.0,25.19,42.65,5.76,9.48
??,2025-05,32.84,54,1.0,20.36,34.45,6.12,8.13
??,2025-06,27.33,45,1.0,16.95,28.74,3.66,7.33
??,2025-07,25.52,44,1.0,15.8,26.78,4.5,7.21
??,2025-08,27.19,48,1.0,16.87,28.54,5.65,7.34
??,2025-09,32.81,51,1.0,20.31,34.49,4.12,8.09
??,2025-10,40.53,62,1.0,25.13,42.55,5.75,9.49
??,2025-11,47.86,68,1.0,29.69,50.27,7.33,10.97
??,2025-12,53.75,72,1.0,33.3,56.4,5.8,12.23
??,2025-01,58.33,77,1.0,36.17,61.25,7.16,13.19
??,2025-02,56.19,76,1.0,34.81,59.0,7.99,12.74
??,2025-03,50.58,71,1.0,31.36,53.11,5.55,11.57
??,2025-04,43.18,64,1.0,26.79,45.35,5.97,10.01
??,2025-05,35.42,56,1.0,21.97,37.17,6.32,8.49
??,2025-06,29.75,50,1.0,18.43,31.24,3.88,7.62
??,2025-07,27.85,46,1.0,17.27,29.24,4.71,7.39
??,2025-08,29.56,49,1.0,18.33,31.02,5.85,7.62
??,2025-09,35.42,57,1.0,21.93,37.22,4.33,8.51
??,2025-10,43.1,64,1.0,26.73,45.26,5.95,10.01
??,2025-11,50.43,71,1.0,31.27,52.94,7.53,11.51
??,2025-12,56.36,74,1.0,34.92,59.17,6.0,12.77
??,2025-01,116.12,99,0.0134,71.98,121.95,11.79,25.3
??,2025-02,113.55,99,0.0379,70.41,119.16,12.58,24.78
??,2025-03,106.91,99,0.2151,66.28,112.29,10.04,23.38
??,2025-04,98.14,99,0.6125,60.85,103.03,10.35,21.54
??,2025-05,88.97,99,0.9294,55.14,93.43,10.63,19.6
??,2025-06,82.11,99,0.9931,50.9,86.23,8.08,18.17
??,2025-07,79.83,99,0.9953,49.5,83.8,8.88,17.7
??,2025-08,81.87,99,0.9886,50.78,85.91,10.06,18.14
??,2025-09,88.91,99,0.9208,55.11,93.38,8.6,19.62
??,2025-10,98.03,99,0.6055,60.77,102.96,10.34,21.52
??,2025-11,106.74,99,0.2375,66.18,112.07,12.03,23.34
??,2025-12,113.81,99,0.0397,70.54,119.51,10.61,24.83
??,2025-01,80.72,99,1.0,50.05,84.75,8.95,17.89
??,2025-02,78.55,98,1.0,48.69,82.46,9.78,17.42
??,2025-03,72.95,94,1.0,45.23,76.63,7.35,16.24
??,2025-04,65.53,87,1.0,40.61,68.77,7.75,14.7
??,2025-05,57.78,78,1.0,35.85,60.7,8.11,13.08
??,2025-06,52.02,71,1.0,32.23,54.59,5.68,11.88
??,2025-07,50.12,69,1.0,31.08,52.64,6.51,11.45
??,2025-08,51.84,71,1.0,32.15,54.42,7.64,11.81
??,2025-09,57.81,80,1.0,35.82,60.69,6.12,13.09
??,2025-10,65.43,87,1.0,40.59,68.74,7.74,14.66
??,2025-11,72.8,94,1.0,45.14,76.4,9.32,16.23
??,2025-12,78.73,99,1.0,48.82,82.72,7.79,17.45
??,2025-01,67.93,88,1.0,42.12,71.36,7.94,15.2
??,2025-02,65.62,87,1.0,40.69,68.87,8.76,14.73
??,2025-03,59.65,82,1.0,36.98,62.65,6.27,13.47
??,2025-04,51.73,75,1.0,32.09,54.31,6.65,11.8
??,2025-05,43.38,65,1.0,26.89,45.54,6.98,10.09
??,2025-06,37.28,59,1.0,23.1,39.17,4.49,8.89
??,2025-07,35.16,55,1.0,21.82,36.9,5.29,8.51
??,2025-08,37.11,56,1.0,23.01,38.96,6.47,8.88
??,2025-09,43.39,62,1.0,26.89,45.56,4.98,10.07
??,2025-10,51.59,73,1.0,31.99,54.19,6.62,11.78
??,2025-11,59.49,78,1.0,36.88,62.44,8.26,13.42
??,2025-12,65.78,86,1.0,40.8,69.07,6.77,14.74
??,2025-01,95.23,99,0.7305,59.07,99.97,10.12,20.94
??,2025-02,92.54,99,0.8237,57.36,97.15,10.91,20.36
??,2025-03,85.7,99,0.9597,53.16,90.0,8.36,18.92
??,2025-04,76.57,99,0.9958,47.48,80.38,8.63,17.01
??,2025-05,66.93,91,1.0,41.48,70.27,8.86,14.98
??,2025-06,59.9,86,1.0,37.14,62.91,6.29,13.51
??,2025-07,57.53,81,1.0,35.68,60.39,7.1,13.02
??,2025-08,59.67,83,1.0,37.0,62.64,8.27,13.46
??,2025-09,66.99,92,1.0,41.52,70.36,6.86,15.01
??,2025-10,76.44,99,0.998,47.39,80.23,8.61,16.99
??,2025-11,85.47,99,0.9625,53.01,89.73,10.34,18.88
??,2025-12,92.8,99,0.8132,57.54,97.48,8.93,20.42
??,2025-01,92.84,99,0.8387,57.56,97.46,9.93,20.43
??,2025-02,90.35,99,0.9085,56.01,94.87,10.73,19.9
??,2025-03,83.82,99,0.9832,51.95,88.01,8.2,18.52
??,2025-04,75.24,98,1.0,46.64,79.01,8.52,16.72
??,2025-05,66.16,91,1.0,41.02,69.45,8.81,14.82
??,2025-06,59.5,81,1.0,36.87,62.49,6.26,13.42
??,2025-07,57.28,79,1.0,35.49,60.15,7.08,12.95
??,2025-08,59.3,83,1.0,36.78,62.26,8.23,13.41
??,2025-09,66.17,90,1.0,41.03,69.51,6.79,14.83
??,2025-10,75.11,99,1.0,46.56,78.85,8.51,16.7
??,2025-11,83.66,99,0.9889,51.89,87.82,10.19,18.48
??,2025-12,90.51,99,0.9026,56.11,95.08,8.75,19.94
??,2025-01,85.52,99,0.9738,53.01,89.81,9.33,18.89
??,2025-02,83.0,99,0.9888,51.45,87.12,10.14,18.37
??,2025-03,76.28,99,1.0,47.31,80.07,7.59,16.96
??,2025-04,67.57,92,1.0,41.88,70.95,7.91,15.12
??,2025-05,58.27,81,1.0,36.14,61.21,8.16,13.18
??,2025-06,51.53,75,1.0,31.95,54.1,5.62,11.76
??,2025-07,49.21,71,1.0,30.5,51.71,6.44,11.26
??,2025-08,51.36,74,1.0,31.85,53.89,7.62,11.72
??,2025-09,58.31,82,1.0,36.13,61.26,6.16,13.19
??,2025-10,67.43,93,1.0,41.81,70.76,7.9,15.1
??,2025-11,76.14,99,1.0,47.2,79.93,9.58,16.92
??,2025-12,83.12,99,0.9866,51.55,87.27,8.14,18.4
??,2025-01,68.86,89,1.0,42.69,72.33,8.02,15.38
??,2025-02,66.52,87,1.0,41.26,69.79,8.83,14.91
??,2025-03,60.57,83,1.0,37.55,63.64,6.33,13.66
??,2025-04,52.65,74,1.0,32.65,55.28,6.7,11.98
??,2025-05,44.33,66,1.0,27.48,46.54,7.04,10.25
??,2025-06,38.18,59,1.0,23.68,40.09,4.56,8.99
??,2025-07,36.06,56,1.0,22.36,37.83,5.38,8.61
??,2025-08,38.0,58,1.0,23.57,39.89,6.54,8.97
??,2025-09,44.33,66,1.0,27.47,46.59,5.05,10.25
??,2025-10,52.58,76,1.0,32.58,55.24,6.7,11.97
??,2025-11,60.41,82,1.0,37.47,63.43,8.34,13.62
??,2025-12,66.7,87,1.0,41.37,70.02,6.85,14.94
????,2025-01,90.82,99,0.9019,56.31,95.35,9.76,20.01
????,2025-02,88.37,99,0.9427,54.77,92.8,10.57,19.5
????,2025-03,81.82,99,0.9926,50.73,85.89,8.03,18.11
????,2025-04,73.22,96,1.0,45.4,76.88,8.37,16.31
????,2025-05,64.18,86,1.0,39.81,67.39,8.64,14.42
????,2025-06,57.53,82,1.0,35.68,60.43,6.11,13.01
????,2025-07,55.24,76,1.0,34.25,58.0,6.92,12.53
????,2025-08,57.3,80,1.0,35.53,60.12,8.08,12.98
????,2025-09,64.17,87,1.0,39.77,67.41,6.64,14.41
????,2025-10,73.11,96,1.0,45.34,76.79,8.36,16.28
????,2025-11,81.65,99,0.9924,50.62,85.72,10.03,18.07
????,2025-12,88.52,99,0.9382,54.88,92.95,8.58,19.53
